ModelFile,Condition,ImageID,Reduction,Peak_Y,Peak_Value,Lowest_Y,Peak_Region
SE-Conv-L1_FaceBased_R2.pth,Full,6,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,7,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,8,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,9,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,10,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,11,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,12,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,13,2,215,17.424381,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,14,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,15,2,60,25.874405,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,16,2,217,93.509834,111,Background
SE-Conv-L1_FaceBased_R2.pth,Full,17,2,217,74.17686,197,Background
SE-Conv-L1_FaceBased_R2.pth,Full,18,2,215,34.39914,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,19,2,60,39.280113,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,20,2,129,57.497536,78,Nose
SE-Conv-L1_FaceBased_R2.pth,Full,21,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,1,2,77,17.441717,0,Eyes
SE-Conv-L1_FaceBased_R2.pth,M,2,2,60,20.72656,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,3,2,60,32.773373,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,4,2,77,17.424381,0,Eyes
SE-Conv-L1_FaceBased_R2.pth,M,5,2,77,17.424381,0,Eyes
SE-Conv-L1_FaceBased_R2.pth,M,6,2,77,17.424381,0,Eyes
SE-Conv-L1_FaceBased_R2.pth,M,7,2,77,17.424381,0,Eyes
SE-Conv-L1_FaceBased_R2.pth,M,8,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,9,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,10,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,11,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,12,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,13,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,14,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,15,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,16,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,17,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,18,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,19,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,20,2,60,26.506176,0,Background
SE-Conv-L1_FaceBased_R2.pth,M,21,2,60,17.277405,0,Background
SE-Conv-L1_FaceBased_R2.pth,N,1,2,42,105.77797,163,Background
SE-Conv-L1_FaceBased_R2.pth,N,2,2,26,115.978836,94,Background
