ModelFile,Arch,Location,BaseType,Reduction,Condition,ImageID,Eyes_PoS,Nose_PoS,Mouth_PoS
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,2,0.082258195,0.171447307,0.113190055
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,3,0.08386761,0.172012269,0.112374201
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,4,0.088342309,0.313465387,0.11282108
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,5,0.085805647,0.227055758,0.11588975
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,6,0.070947461,0.300968856,0.110413879
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,7,0.000630772,0.274173915,0.252019048
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,8,0.022306196,0.22827062,0.233364835
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,9,0.015626341,0.158306658,0.26826328
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,10,0.018362449,0.127670854,0.26197502
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,11,0.029759664,0.149313778,0.243649721
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,12,0.04695553,0.159109741,0.234342813
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,13,0.000945294,0.197174087,0.345422804
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,14,0.004644969,0.118371129,0.432164669
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,15,0.001356452,0.307609677,0.319682389
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,16,0.053980559,0.258331925,0.28525579
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,17,0.089747071,0.210133389,0.179993331
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,18,0.0280108,0.193323299,0.26826334
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,19,0.004109236,0.326707244,0.289531916
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,20,0.034120191,0.208659738,0.294075787
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,21,0.037527155,0.308165252,0.181558028
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,1,0.439647019,0.091689214,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,2,0.47737962,0.057522736,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,3,0.533273458,0.041239139,0
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,Full,4,0.338256955,0.103583045,0
