ModelGroup,SE_Type,BaseType,SE_Position_Label,Reduction,Condition,N,Eyes_Mean,Eyes_SD,Eyes_SEM,Eyes_CI95,Nose_Mean,Nose_SD,Nose_SEM,Nose_CI95,Mouth_Mean,Mouth_SD,Mouth_SEM,Mouth_CI95,DiagRatio_Mean,DiagRatio_SD,DiagRatio_SEM,DiagRatio_CI95
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,4,M,21,0.090539,0.075064,0.016380,0.034169,0.210377,0.091017,0.019862,0.041431,0.165840,0.131166,0.028623,0.059706,0.557988,0.148785,0.032468,0.067726
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,4,N,21,0.386595,0.105057,0.022925,0.047821,0.018744,0.012439,0.002714,0.005662,0.043145,0.034575,0.007545,0.015738,0.954541,0.036496,0.007964,0.016613
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,8,E,21,0.093066,0.066470,0.014505,0.030257,0.209630,0.122169,0.026660,0.055611,0.058213,0.042196,0.009208,0.019208,0.457535,0.173947,0.037958,0.079180
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,8,Full,21,0.080446,0.193501,0.042225,0.088081,0.029776,0.029241,0.006381,0.013310,0.160715,0.144672,0.031570,0.065854,0.801560,0.190613,0.041595,0.086766
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,8,M,21,0.358741,0.186149,0.040621,0.084734,0.096217,0.080647,0.017599,0.036710,0.012808,0.022685,0.004950,0.010326,0.776128,0.170816,0.037275,0.077754
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,8,N,21,0.256958,0.085420,0.018640,0.038883,0.180573,0.053456,0.011665,0.024333,0.052276,0.031699,0.006917,0.014429,0.625251,0.127909,0.027912,0.058224
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,16,E,21,0.279379,0.058734,0.012817,0.026735,0.024360,0.008731,0.001905,0.003974,0.006522,0.007221,0.001576,0.003287,0.921595,0.022580,0.004927,0.010278
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,16,Full,20,0.020456,0.023595,0.005149,0.010740,0.036099,0.045901,0.010016,0.020894,0.065927,0.067920,0.014821,0.030917,0.744137,0.290410,0.063373,0.132193
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,16,M,20,0.021158,0.056548,0.012340,0.025740,0.014576,0.020984,0.004579,0.009552,0.200103,0.197098,0.043010,0.089718,0.859376,0.212073,0.046278,0.096534
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,16,N,21,0.027785,0.025977,0.005669,0.011825,0.187302,0.100755,0.021987,0.045863,0.067663,0.036176,0.007894,0.016467,0.389543,0.212811,0.046439,0.096870
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,32,E,20,0.000105,0.000214,0.000047,0.000098,0.186880,0.153734,0.033548,0.069979,0.098140,0.119000,0.025968,0.054168,0.320473,0.308679,0.067359,0.140509
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,32,Full,19,0.002152,0.006955,0.001518,0.003166,0.020409,0.031999,0.006983,0.014566,0.132338,0.105911,0.023112,0.048210,0.911436,0.091121,0.019884,0.041478
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,32,M,21,0.002358,0.005134,0.001120,0.002337,0.102587,0.055348,0.012078,0.025194,0.019732,0.014670,0.003201,0.006678,0.207449,0.127421,0.027805,0.058001
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,32,N,21,0.234314,0.068518,0.014952,0.031189,0.019844,0.010816,0.002360,0.004924,0.098553,0.034321,0.007489,0.015623,0.944104,0.024761,0.005403,0.011271
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,2,E,21,0.104285,0.066923,0.014604,0.030463,0.182859,0.150754,0.032897,0.068623,0.010885,0.023052,0.005030,0.010493,0.486988,0.285781,0.062363,0.130086
SE-Conv-L3_FaceBased,SE-Conv,FaceBased,L3,2,Full,20,0.151178,0.176852,0.038592,0.080502,0.041917,0.079939,0.017444,0.036388,0.000116,0.000127,0.000028,0.000058,0.772621,0.326255,0.071195,0.148510
